point_id,image_path,image_id,x,y,label
0,images/train/0.png,0,329,18,1
1,images/train/0.png,0,7,21,1
2,images/train/0.png,0,283,63,1
3,images/train/0.png,0,373,72,1
4,images/train/0.png,0,509,78,1
5,images/train/0.png,0,321,79,1
6,images/train/0.png,0,426,91,1
7,images/train/0.png,0,393,99,1
8,images/train/0.png,0,316,122,1
9,images/train/0.png,0,342,127,1
10,images/train/0.png,0,117,146,1
11,images/train/0.png,0,282,158,1
12,images/train/0.png,0,384,167,1
13,images/train/0.png,0,557,181,1
14,images/train/0.png,0,295,186,1
15,images/train/0.png,0,465,212,1
16,images/train/0.png,0,522,227,1
17,images/train/0.png,0,454,228,1
18,images/train/0.png,0,601,228,1
19,images/train/0.png,0,295,229,1
20,images/train/0.png,0,83,247,1
21,images/train/0.png,0,573,257,1
22,images/train/0.png,0,303,261,1
23,images/train/0.png,0,36,286,1
24,images/train/0.png,0,603,298,1
25,images/train/0.png,0,104,318,1
26,images/train/0.png,0,443,335,1
27,images/train/0.png,0,81,335,1
28,images/train/0.png,0,356,335,1
29,images/train/0.png,0,129,362,1
30,images/train/0.png,0,417,363,1
31,images/train/0.png,0,110,381,1
32,images/train/0.png,0,451,406,1
33,images/train/0.png,0,196,420,1
34,images/train/0.png,0,424,445,1
35,images/train/0.png,0,330,453,1
36,images/train/0.png,0,104,459,1
37,images/train/0.png,0,375,469,1
38,images/train/0.png,0,241,482,1
39,images/train/0.png,0,581,485,1
40,images/train/0.png,0,125,497,1
41,images/train/0.png,0,30,501,1
42,images/train/0.png,0,632,504,1
43,images/train/0.png,0,309,516,1
44,images/train/0.png,0,395,519,1
45,images/train/0.png,0,214,539,1
46,images/train/0.png,0,268,548,1
47,images/train/0.png,0,361,563,1
48,images/train/0.png,0,186,587,1
49,images/train/0.png,0,308,591,1
50,images/train/0.png,0,385,601,1
51,images/train/0.png,0,63,57,0
52,images/train/0.png,0,23,86,0
53,images/train/0.png,0,153,159,0
54,images/train/0.png,0,332,167,0
55,images/train/0.png,0,388,208,0
56,images/train/0.png,0,188,224,0
57,images/train/0.png,0,342,253,0
58,images/train/0.png,0,458,277,0
59,images/train/0.png,0,187,289,0
60,images/train/0.png,0,405,292,0
61,images/train/0.png,0,551,293,0
62,images/train/0.png,0,128,306,0
63,images/train/0.png,0,59,339,0
64,images/train/0.png,0,614,341,0
65,images/train/0.png,0,155,346,0
66,images/train/0.png,0,266,360,0
67,images/train/0.png,0,491,371,0
68,images/train/0.png,0,542,390,0
69,images/train/0.png,0,54,391,0
70,images/train/0.png,0,315,401,0
71,images/train/0.png,0,305,429,0
72,images/train/0.png,0,27,439,0
73,images/train/0.png,0,176,441,0
74,images/train/0.png,0,142,444,0
75,images/train/0.png,0,452,464,0
76,images/train/0.png,0,127,476,0
77,images/train/0.png,0,397,565,0
78,images/train/0.png,0,416,612,0
79,images/train/1.png,1,143,20,1
80,images/train/1.png,1,278,56,1
81,images/train/1.png,1,464,57,1
82,images/train/1.png,1,42,61,1
83,images/train/1.png,1,583,67,1
84,images/train/1.png,1,433,69,1
85,images/train/1.png,1,394,77,1
86,images/train/1.png,1,616,137,1
87,images/train/1.png,1,313,143,1
88,images/train/1.png,1,255,144,1
89,images/train/1.png,1,99,155,1
90,images/train/1.png,1,339,176,1
91,images/train/1.png,1,294,225,1
92,images/train/1.png,1,543,260,1
93,images/train/1.png,1,155,261,1
94,images/train/1.png,1,427,287,1
95,images/train/1.png,1,631,291,1
96,images/train/1.png,1,457,348,1
97,images/train/1.png,1,434,348,1
98,images/train/1.png,1,215,351,1
99,images/train/1.png,1,137,358,1
100,images/train/1.png,1,72,358,1
101,images/train/1.png,1,601,369,1
102,images/train/1.png,1,415,379,1
103,images/train/1.png,1,561,386,1
104,images/train/1.png,1,589,435,1
105,images/train/1.png,1,77,444,1
106,images/train/1.png,1,56,515,1
107,images/train/1.png,1,145,526,1
108,images/train/1.png,1,528,534,1
109,images/train/1.png,1,63,573,1
110,images/train/1.png,1,466,578,1
111,images/train/1.png,1,118,593,1
112,images/train/1.png,1,236,594,1
113,images/train/1.png,1,166,601,1
114,images/train/1.png,1,344,610,1
115,images/train/1.png,1,517,611,1
116,images/train/1.png,1,481,613,1
117,images/train/1.png,1,402,618,1
118,images/train/1.png,1,452,630,1
119,images/train/1.png,1,93,21,0
120,images/train/1.png,1,607,34,0
121,images/train/1.png,1,200,35,0
122,images/train/1.png,1,541,36,0
123,images/train/1.png,1,506,40,0
124,images/train/1.png,1,370,52,0
125,images/train/1.png,1,554,76,0
126,images/train/1.png,1,494,98,0
127,images/train/1.png,1,602,170,0
128,images/train/1.png,1,242,205,0
129,images/train/1.png,1,632,208,0
130,images/train/1.png,1,142,211,0
131,images/train/1.png,1,261,218,0
132,images/train/1.png,1,64,222,0
133,images/train/1.png,1,608,223,0
134,images/train/1.png,1,343,231,0
135,images/train/1.png,1,177,246,0
136,images/train/1.png,1,91,282,0
137,images/train/1.png,1,296,287,0
138,images/train/1.png,1,513,292,0
139,images/train/1.png,1,471,295,0
140,images/train/1.png,1,323,302,0
141,images/train/1.png,1,337,302,0
142,images/train/1.png,1,182,307,0
143,images/train/1.png,1,60,308,0
144,images/train/1.png,1,103,323,0
145,images/train/1.png,1,155,328,0
146,images/train/1.png,1,120,333,0
147,images/train/1.png,1,280,336,0
148,images/train/1.png,1,495,419,0
149,images/train/1.png,1,488,436,0
150,images/train/1.png,1,386,450,0
151,images/train/1.png,1,292,453,0
152,images/train/1.png,1,279,454,0
153,images/train/1.png,1,446,464,0
154,images/train/1.png,1,479,477,0
155,images/train/1.png,1,337,496,0
156,images/train/1.png,1,116,547,0
157,images/train/1.png,1,165,551,0
158,images/train/1.png,1,350,561,0
159,images/train/1.png,1,548,614,0
160,images/train/2.png,2,492,8,1
161,images/train/2.png,2,358,19,1
162,images/train/2.png,2,486,30,1
163,images/train/2.png,2,498,72,1
164,images/train/2.png,2,348,98,1
165,images/train/2.png,2,583,107,1
166,images/train/2.png,2,293,111,1
167,images/train/2.png,2,547,119,1
168,images/train/2.png,2,101,125,1
169,images/train/2.png,2,275,166,1
